,Game,Total,Twitch_Year,Genre
0,7 Days to Die,149457827.025696,2016,Action
1,7 Days to Die,157815966.232176,2017,Action
2,7 Days to Die,104328705.778752,2018,Action
3,7 Days to Die,287697860.869755,2019,Action
4,7 Days to Die,403155253.93248,2020,Action
5,7 Days to Die,415203439.138446,2021,Action
6,APB Reloaded,1746921.9072059998,2016,Role-Playing
7,Alien: Isolation,4662774.169136999,2016,Shooter
8,Alien: Isolation,5187696.622038,2017,Shooter
9,Alien: Isolation,1916759.017656,2018,Shooter
10,Alien: Isolation,7451191.893599999,2019,Shooter
11,Alien: Isolation,71964795.20897101,2020,Shooter
12,Alien: Isolation,40385367.739878,2021,Shooter
13,Animal Crossing: New Leaf,301575.932322,2016,Simulation
14,Ape Escape,584559.984729,2016,Platform
15,Ape Escape,1906516.8728970003,2017,Platform
16,Banjo-Kazooie,1232740.215,2016,Platform
17,Banjo-Kazooie,3627206.67078,2017,Platform
18,Banjo-Kazooie,5016787.982535,2019,Platform
19,Battleborn,36213760.43762399,2016,Shooter
20,Battlefield 4,102968434.555077,2016,Shooter
21,Battlefield 4,1118788.999356,2017,Shooter
22,Battlefield 4,3346297.750782,2018,Shooter
23,Battlefield 4,156028575.670863,2021,Shooter
24,Battlefield: Bad Company 2,343933.053282,2016,Shooter
25,Beyond: Two Souls,1658888.406,2016,Adventure
26,Beyond: Two Souls,993720.569247,2017,Adventure
27,BioShock,758696.947932,2016,Shooter
28,BioShock,3005299.491348,2018,Shooter
29,Blast Corps,676803.0023999999,2016,Action
30,Bloodborne,147626056.20800102,2016,Action
31,Bloodborne,109469524.096863,2017,Action
32,Bloodborne,268102680.401955,2018,Action
33,Bloodborne,105771704.729187,2019,Action
34,Bloodborne,237156393.795594,2020,Action
35,Bloodborne,182341325.681109,2021,Action
36,Borderlands 2,10199087.263701,2016,Shooter
37,Borderlands 2,105509079.93381,2017,Shooter
38,Borderlands 2,61165070.955828,2018,Shooter
39,Borderlands 2,292088974.501401,2019,Shooter
40,Borderlands: The Handsome Collection,363357.957417,2016,Shooter
41,Bully: Scholarship Edition,768599.306496,2016,Action
42,Bully: Scholarship Edition,3088872.685647,2018,Action
43,Call of Duty 4: Modern Warfare,4996731.181743,2016,Shooter
44,Call of Duty: Black Ops,3002281.237368,2016,Shooter
45,Call of Duty: Black Ops,726809.2002990001,2017,Shooter
46,Call of Duty: Black Ops II,15840120.744525002,2016,Shooter
47,Call of Duty: Black Ops II,35391082.514067,2017,Shooter
48,Call of Duty: Black Ops II,8252293.2754919985,2020,Shooter
49,Call of Duty: Modern Warfare 2,3643109.610966,2016,Shooter
50,Call of Duty: Modern Warfare 2,2757615.447447,2018,Shooter
51,Call of Duty: Modern Warfare 2,7340869.380033,2020,Shooter
52,Call of Duty: Modern Warfare 3,230400.74694000004,2016,Shooter
53,Castlevania,643984.623828,2016,Platform
54,Castlevania: Symphony of the Night,961369.24884,2016,Platform
55,Chess,23530670.776851,2016,Strategy
56,Chess,28027865.343156,2017,Strategy
57,Chess,665434921.602948,2018,Strategy
58,Chess,836069619.845292,2019,Strategy
59,Chess,13010179729.157017,2020,Strategy
60,Chess,39425806856.31962,2021,Strategy
61,Cities: Skylines,11354639.978073,2016,Simulation
62,Cities: Skylines,21079408.944237,2017,Simulation
63,Cities: Skylines,28500322.031853,2018,Simulation
64,Cities: Skylines,11740939.094472,2019,Simulation
65,Cities: Skylines,13185632.402292,2020,Simulation
66,Company of Heroes 2,2677418.871561,2016,Strategy
67,Company of Heroes 2,384145.854456,2017,Strategy
68,Company of Heroes 2,2272142.353152,2018,Strategy
69,Condemned: Criminal Origins,517194.48942,2016,Action
70,Crash Bandicoot,3392951.9330280004,2016,Platform
71,DC Universe Online,1843528.366302,2016,Role-Playing
72,Danganronpa 2: Goodbye Despair,1401552.005427,2016,Misc
73,Danganronpa 2: Goodbye Despair,4624542.694464,2019,Misc
74,Danganronpa 2: Goodbye Despair,9947915.210814,2020,Misc
75,Danganronpa: Trigger Happy Havoc,790387.983882,2016,Misc
76,Danganronpa: Trigger Happy Havoc,2592450.448434,2019,Misc
77,Danganronpa: Trigger Happy Havoc,17831092.789125,2020,Misc
78,Dark Souls,258054688.828167,2016,Role-Playing
79,Dark Souls,102561498.060063,2017,Role-Playing
80,Dark Souls,1724145272.147634,2018,Role-Playing
81,Dark Souls,400011717.49413,2019,Role-Playing
82,Dark Souls,488118270.729138,2020,Role-Playing
83,Dark Souls,522450554.115588,2021,Role-Playing
84,Dark Souls II,9638756.70786,2016,Role-Playing
85,Dark Souls II,12724314.881292,2017,Role-Playing
86,Dark Souls II,28580991.990075,2018,Role-Playing
87,Dark Souls II,8688478.493625,2019,Role-Playing
88,Dark Souls II,27468993.021288,2020,Role-Playing
89,Dark Souls II,120748579.286412,2021,Role-Playing
90,Dark Souls III,9530658283.48158,2016,Role-Playing
91,Dark Souls III,1005581460.785349,2017,Role-Playing
92,Dark Souls III,601208897.110437,2018,Role-Playing
93,Dark Souls III,555865481.881143,2019,Role-Playing
94,Dark Souls III,1802014764.468576,2020,Role-Playing
95,Dark Souls III,1719681508.552854,2021,Role-Playing
96,Darksiders II,1240896.581925,2016,Action
97,Dead Rising,1543587.050817,2016,Action
98,Dead Rising 2,1300830.482385,2016,Action
99,Dead Space,2534340.0067650005,2016,Action
100,Dead Space,940631.314329,2017,Action
101,Dead Space 2,1365268.753926,2016,Shooter
102,Dead Space 2,3147832.900338,2019,Shooter
103,Dead Space 2,2774897.9874,2020,Shooter
104,Dead Space 3,729255.708216,2016,Action
105,Demon's Souls,3602015.731335,2016,Role-Playing
106,Demon's Souls,626782.59483,2017,Role-Playing
107,Demon's Souls,2411751.613719,2018,Role-Playing
108,Demon's Souls,11987800275.439842,2020,Role-Playing
109,Demon's Souls,133543793.139792,2021,Role-Playing
110,Destiny,11329174691.248323,2016,Shooter
111,Destiny,5668534712.308419,2017,Shooter
112,Deus Ex,3066571.308822,2016,Role-Playing
113,Deus Ex: Mankind Divided,132872301.49477202,2016,Role-Playing
114,DiRT Rally,276099.553548,2016,Racing
115,Diablo,1537459.780752,2016,Role-Playing
116,Diablo,1394935.093125,2018,Role-Playing
117,Diablo II: Lord of Destruction,47692931.922111005,2016,Role-Playing
118,Diablo II: Lord of Destruction,45001642.803012,2017,Role-Playing
119,Diablo II: Lord of Destruction,59886717.050307,2018,Role-Playing
120,Diablo II: Lord of Destruction,117059229.434637,2019,Role-Playing
121,Diablo II: Lord of Destruction,185378443.606545,2020,Role-Playing
122,Diablo III,1365120607.93353,2016,Role-Playing
123,Diablo III,720855107.452998,2017,Role-Playing
124,Diablo III,593091960.9184921,2018,Role-Playing
125,Diablo III,848910668.1831931,2019,Role-Playing
126,Diablo III,461169086.508627,2020,Role-Playing
127,Diablo III,728524022.5278751,2021,Role-Playing
128,Dishonored,5924453.743319999,2016,Action
129,Divinity: Original Sin,2322231.790389,2016,Role-Playing
130,Divinity: Original Sin,2593189.225158,2017,Role-Playing
131,Donkey Kong 64,715478.809227,2016,Platform
132,Donkey Kong 64,3048706.3616100005,2017,Platform
133,Donkey Kong 64,5651379.50916,2019,Platform
134,Donkey Kong Country,1255706.41833,2016,Platform
135,Donkey Kong Country,2300008.180365,2018,Platform
136,Donkey Kong Country 2: Diddy's Kong Quest,2118722.270175,2016,Platform
137,Donkey Kong Country: Tropical Freeze,2438765.538825,2016,Platform
138,Donkey Kong Country: Tropical Freeze,4681668.426434999,2018,Platform
139,Dying Light,64850805.984006,2016,Action
140,Dying Light,10045556.310594,2017,Action
141,Dying Light,10876400.91531,2018,Action
142,Dying Light,4730608.331253001,2019,Action
143,Dying Light,9000012.093408,2020,Action
144,Dying Light,16417484.67429,2021,Action
145,EA Sports UFC 2,106543697.560608,2016,Sports
146,EVE Online,40233815.069469005,2016,Role-Playing
147,EVE Online,31532360.985594,2017,Role-Playing
148,EVE Online,24070487.882595003,2018,Role-Playing
149,EVE Online,2455062.8170950003,2019,Role-Playing
150,Euro Truck Simulator 2,44836366.3188,2016,Action
151,Euro Truck Simulator 2,52287289.080285,2017,Action
152,Euro Truck Simulator 2,92568623.513289,2018,Action
153,Euro Truck Simulator 2,118549440.497985,2019,Action
154,Euro Truck Simulator 2,204901444.433973,2020,Action
155,Euro Truck Simulator 2,461616294.4571641,2021,Action
156,Evolve,112872657.29859,2016,Shooter
157,FIFA 16,3032683836.886011,2016,Sports
158,FIFA 17,4769582247.104934,2016,Sports
159,FIFA 17,7503876013.118499,2017,Sports
160,FIFA 17,6266747.069961,2018,Sports
161,FIFA 17,4375669.94298,2020,Sports
162,Fallout 4,214592875.808703,2016,Role-Playing
163,Fallout 4,96506836.795887,2017,Role-Playing
164,Fallout 4,114592489.548348,2018,Role-Playing
165,Fallout 4,3512512.719891,2019,Role-Playing
166,Fallout 4,35441251.673709,2020,Role-Playing
167,Fallout: New Vegas,1062147.705192,2016,Role-Playing
168,Fallout: New Vegas,4754322.505799999,2017,Role-Playing
169,Fallout: New Vegas,16098881.124459,2018,Role-Playing
170,Fallout: New Vegas,7905685.397526,2019,Role-Playing
171,Far Cry 4,540792.983682,2016,Shooter
172,Far Cry: Primal,108365478.127956,2016,Action
173,Final Fantasy IV,6080121.714239999,2016,Simulation
174,Final Fantasy IV,773740.2897630001,2017,Simulation
175,Final Fantasy IV,3785073.939192,2018,Simulation
176,Final Fantasy IV,2271823.90512,2019,Simulation
177,Final Fantasy IX,2769348.345981,2016,Role-Playing
178,Final Fantasy IX,524116.412862,2017,Role-Playing
179,Final Fantasy IX,39938335.243716,2019,Role-Playing
180,Final Fantasy Tactics: The War of the Lions,390246.108798,2016,Role-Playing
181,Final Fantasy V,320635.28044800006,2016,Role-Playing
182,Final Fantasy V,571245.302208,2017,Role-Playing
183,Final Fantasy VI,5310996.0033060005,2016,Role-Playing
184,Final Fantasy VI,16492104.971538,2018,Role-Playing
185,Final Fantasy VII,6822610.852785001,2016,Role-Playing
186,Final Fantasy VII,30501283.175517,2017,Role-Playing
187,Final Fantasy VII,10375563.870525,2018,Role-Playing
188,Final Fantasy VII,57707186.314638,2019,Role-Playing
189,Final Fantasy VII,40543141.95939,2020,Role-Playing
190,Final Fantasy VII,27385201.272471003,2021,Role-Playing
191,Final Fantasy X/X-2 HD Remaster,10116752.865681,2016,Role-Playing
192,Final Fantasy XII,621192.658506,2016,Role-Playing
193,Final Fantasy XIV: Heavensward,43930217.397024,2016,Action
194,Final Fantasy XIV: Heavensward,34021950.101706,2017,Action
195,Fire Emblem: Path of Radiance,1177635.3158850002,2016,Action
196,Forza Horizon 3,16132240.022514,2016,Racing
197,Forza Horizon 3,2077740.490812,2017,Racing
198,Forza Motorsport 6,969449.36298,2016,Racing
199,Game & Wario,332884.56883500004,2016,Misc
200,Gears of War: Ultimate Edition,8382531.360545999,2016,Shooter
201,Ghostbusters,583265.7533849999,2016,Puzzle
202,Goat Simulator,200894.27836800003,2016,Simulation
203,Grand Theft Auto III,992458.494972,2016,Action
204,Grand Theft Auto V,2471421888.729444,2016,Action
205,Grand Theft Auto V,33689390405.06214,2017,Action
206,Grand Theft Auto V,40377232716.9355,2018,Action
207,Grand Theft Auto V,725687086530.4437,2019,Action
208,Grand Theft Auto V,1325687666347.37,2020,Action
209,Grand Theft Auto V,6275375844604.229,2021,Action
210,Grand Theft Auto: San Andreas,5973453.246747,2016,Action
211,Grand Theft Auto: San Andreas,15606135.01272,2017,Action
212,Grand Theft Auto: San Andreas,36375180.013389,2018,Action
213,Grand Theft Auto: San Andreas,40564497.864765,2019,Action
214,Grand Theft Auto: San Andreas,161881867.981113,2020,Action
215,Grand Theft Auto: San Andreas,33437804.484231003,2021,Action
216,Guild Wars 2,26366311.606614,2016,Action
217,Guild Wars 2,57377922.105021,2017,Action
218,Guild Wars 2,54359873.999655,2018,Action
219,Guild Wars 2,48235471.070913,2019,Action
220,Guild Wars 2,198295935.62163,2020,Action
221,Guild Wars 2,183214736.120199,2021,Action
222,Guitar Hero III: Legends of Rock,248804.24226,2016,Misc
223,Guitar Hero III: Legends of Rock,676169.260536,2017,Misc
224,Guitar Hero III: Legends of Rock,4753735.7930580005,2018,Misc
225,Half-Life 2,945361.494588,2016,Shooter
226,Half-Life 2,1868772.375162,2017,Shooter
227,Half-Life 2,4803922.3008,2020,Shooter
228,Halo 4,1935109.711668,2016,Shooter
229,Halo 5: Guardians,404280716.099295,2016,Shooter
230,Halo 5: Guardians,157438048.34562,2017,Shooter
231,Halo 5: Guardians,32779812.310539003,2018,Shooter
232,Hearts of Iron IV,22305208.673328,2016,Strategy
233,Hearts of Iron IV,1381628.406501,2017,Strategy
234,Hearts of Iron IV,10989266.581482,2018,Strategy
235,Hearts of Iron IV,28041168.134343,2019,Strategy
236,Hearts of Iron IV,31545303.125553,2020,Strategy
237,Hearts of Iron IV,39124893.637851,2021,Strategy
238,Heavy Rain,23484614.205108,2016,Adventure
239,Heavy Rain,632717.7583440001,2017,Adventure
240,Hexen: Beyond Heretic,632132.338824,2016,Shooter
241,Hitman: Absolution,968114.537082,2016,Action
242,Hitman: Blood Money,186700.315284,2016,Action
243,Homefront: The Revolution,2439691.816968,2016,Shooter
244,Illusion of Gaia,861942.777234,2016,Role-Playing
245,Jak and Daxter: The Precursor Legacy,616283.650878,2016,Platform
246,Just Cause 3,988723.25979,2016,Action
247,Killer Instinct,12211302.182919,2016,Fighting
248,Killer Instinct,1625558.668524,2017,Fighting
249,Kirby 64: The Crystal Shards,2108835.540672,2016,Platform
250,Kirby: Nightmare in Dream Land,1171343.838168,2016,Platform
251,L.A. Noire,9429167.072871,2016,Adventure
252,L.A. Noire,14870430.668772,2017,Adventure
253,LEGO The Lord of the Rings,433390.108032,2016,Action
254,Left 4 Dead 2,7286317.995705,2016,Shooter
255,Left 4 Dead 2,4116288.311814,2017,Shooter
256,Left 4 Dead 2,8056264.177143001,2018,Shooter
257,Left 4 Dead 2,17623765.078268997,2019,Shooter
258,Left 4 Dead 2,79743198.621912,2020,Shooter
259,Left 4 Dead 2,33138625.712367,2021,Shooter
260,Life is Strange,6703053.914046001,2016,Adventure
261,Life is Strange,4502091.745683,2017,Adventure
262,Life is Strange,1260756.954912,2018,Adventure
263,Life is Strange,58802233.90293,2021,Adventure
264,MLB 15: The Show,286570.488204,2016,Sports
265,Madden NFL 16,91654900.694931,2016,Sports
266,Madden NFL 17,90422016.806121,2016,Sports
267,Madden NFL 17,77553545.31720601,2017,Sports
268,Mafia,1260707.165865,2016,Action
269,Mafia,664688.287956,2017,Action
270,Mafia II,7702587.973541999,2016,Action
271,Mafia II,22920059.481543,2020,Action
272,Mario Kart 64,642061.9181340002,2016,Racing
273,Mario Kart 8,20898630.860247,2016,Racing
274,Mario Kart 8,117906193.05801,2017,Racing
275,Mario Kart 8,44276583.268995,2018,Racing
276,Mario Kart 8,22584951.990258,2019,Racing
277,Mario Kart 8,388045154.310114,2020,Racing
278,Mario Kart 8,3984947692.504527,2021,Racing
279,Mario Party 10,3184645.032324,2016,Misc
280,Mass Effect,1007790.24108,2016,Role-Playing
281,Mass Effect,9782532.382749,2017,Role-Playing
282,Mass Effect,1225349.262018,2018,Role-Playing
283,Mass Effect,2312951.645088,2019,Role-Playing
284,Mass Effect 2,2310659.8822230003,2016,Role-Playing
285,Mass Effect 2,15185010.689541,2017,Role-Playing
286,Mass Effect 3,3081979.575822,2016,Role-Playing
287,Mass Effect 3,8621459.755293,2017,Role-Playing
288,Mega Man 2,921841.44528,2016,Action
289,Mega Man X,1560298.459776,2016,Platform
290,Mega Man X,1092391.010655,2017,Platform
291,Mega Man X,1107417.146325,2018,Platform
292,Mega Man X2,967179.395637,2016,Platform
293,Mega Man X2,482502.642216,2017,Platform
294,Mega Man ZX Advent,1000460.321868,2016,Platform
295,Mega Man Zero 2,1156254.523872,2016,Platform
296,Metal Gear Solid,451782.0589800001,2016,Action
297,Metal Gear Solid,1156056.440112,2018,Action
298,Metal Gear Solid 2: Sons of Liberty,1188925.017777,2016,Action
299,Metal Gear Solid 2: Sons of Liberty,5029214.584275,2017,Action
300,Metal Gear Solid 3: Snake Eater,620084.80884,2016,Action
301,Metal Gear Solid 3: Snake Eater,1905105.904611,2018,Action
302,Metal Gear Solid 4: Guns of the Patriots,407370.891438,2016,Action
303,Metal Gear Solid V: The Phantom Pain,8106901.467378,2016,Action
304,Metal Gear Solid V: The Phantom Pain,2115816.053379,2017,Action
305,Metal Gear Solid: Peace Walker,195716.990259,2016,Action
306,Metro: Last Light,927382.27071,2016,Action
307,Metro: Last Light,1321915.189644,2017,Action
308,Metro: Last Light,10715580.337896,2019,Action
309,Metroid Fusion,1163220.621885,2016,Action
310,Metroid Fusion,1875399.0024,2017,Action
311,Metroid Prime,2436861.048636,2016,Shooter
312,Metroid Prime,1786683.18465,2017,Shooter
313,Microsoft Flight Simulator X,8975769.7323,2016,Simulation
314,Microsoft Flight Simulator X,11030903.977086,2017,Simulation
315,Microsoft Flight Simulator X,8986413.611742001,2018,Simulation
316,Microsoft Flight Simulator X,1376489.599632,2019,Simulation
317,Mighty No. 9,1149699.465432,2016,Platform
318,Mighty No. 9,1876799.4672,2017,Platform
319,Mike Tyson's Punch-Out!!,830127.8127659999,2016,Fighting
320,Minecraft,15061303731.223051,2016,Misc
321,Minecraft,9313083351.81252,2017,Misc
322,Minecraft,4832710531.457865,2018,Misc
323,Minecraft,71698886353.27171,2019,Misc
324,Minecraft,550426835293.645,2020,Misc
325,Minecraft,1247288707810.052,2021,Misc
326,Mirror's Edge,928461.906057,2016,Platform
327,Mirror's Edge,1070972.65212,2017,Platform
328,Mirror's Edge Catalyst,4413069.29238,2016,Platform
329,Monopoly,323405.04655200004,2016,Misc
330,Monopoly,2771774.824728,2017,Misc
331,Mortal Kombat X,74487739.958541,2016,Fighting
332,Mortal Kombat X,3338160.419454,2017,Fighting
333,Mortal Kombat X,3906463.704696,2019,Fighting
334,NBA 2K15,6900605.923239,2016,Sports
335,NBA 2K16,1921493355.071745,2016,Sports
336,NBA 2K16,2149811.40591,2017,Sports
337,NBA 2K17,603136244.856348,2016,Sports
338,NBA 2K17,796216615.253031,2017,Sports
339,NHL 16,3058541.661882,2016,Sports
340,NHL 17,723948.1516470001,2016,Sports
341,NHL 17,442438.876992,2017,Sports
342,Naruto Shippuden: Ultimate Ninja Storm 4,34479798.88588199,2016,Fighting
343,Naruto Shippuden: Ultimate Ninja Storm 4,929451.142032,2017,Fighting
344,New Super Mario Bros.,616442.559474,2016,Platform
345,No Man's Sky,2523172998.4428453,2016,Action
346,No Man's Sky,8410433.823792001,2017,Action
347,No Man's Sky,707053068.25986,2018,Action
348,No Man's Sky,233695113.500394,2019,Action
349,No Man's Sky,19836063.157554,2020,Action
350,No Man's Sky,246156271.046952,2021,Action
351,Overlord II,904939.19145,2016,Action
352,Overwatch,80841918224.91954,2016,Shooter
353,Overwatch,105949382337.23044,2017,Shooter
354,Overwatch,172579068053.40997,2018,Shooter
355,Overwatch,157762147476.8627,2019,Shooter
356,Overwatch,53042873973.13915,2020,Shooter
357,Overwatch,29862798297.038998,2021,Shooter
358,Paper Mario,3610161.925965,2016,Role-Playing
359,Paper Mario,2628375.997884,2018,Role-Playing
360,Paper Mario: The Thousand-Year Door,341249.617632,2016,Role-Playing
361,Paper Mario: The Thousand-Year Door,7202856.680880001,2017,Role-Playing
362,Paper Mario: The Thousand-Year Door,1456768.626306,2019,Role-Playing
363,Paragon,219219622.18499696,2016,Action
364,Paragon,117182573.479377,2017,Action
365,Paragon,1907737.169793,2018,Action
366,Persona 5,1230583.877712,2016,Role-Playing
367,Persona 5,196038149.183961,2017,Role-Playing
368,Persona 5,53062805.988969,2018,Role-Playing
369,Persona 5,8234879.883552,2019,Role-Playing
370,Pikmin,1452388.483392,2016,Strategy
371,Pinball,756405.610884,2016,Action
372,Portal 2,1999471.052271,2016,Shooter
373,Portal 2,4606247.624769,2017,Shooter
374,Portal 2,1059844.94994,2018,Shooter
375,Portal 2,7367328.134397,2019,Shooter
376,Portal 2,2934841.161,2020,Shooter
377,Prison Architect,264770.64495,2016,Action
378,Prison Architect,627658.9419869999,2017,Action
379,Pro Evolution Soccer 2016,339455.63484,2016,Sports
380,Pro Evolution Soccer 2017,570733.060128,2016,Sports
381,Puzzle & Dragons,4025325.647007,2016,Role-Playing
382,Puzzle & Dragons,522842.526108,2017,Role-Playing
383,Quantum Break,33473102.269026,2016,Action
384,RPG Maker,996435.089538,2016,Role-Playing
385,RPG Maker,335634.19537200005,2017,Role-Playing
386,Ratchet & Clank,13358598.92073,2016,Platform
387,Rayman Legends,1693945.7619,2016,Platform
388,ReCore,2137436.05992,2016,Action
389,Red Dead Redemption,5667402.372029999,2016,Action
390,Red Dead Redemption,11420172.441594,2018,Action
391,Resident Evil,10233722.177595,2016,Action
392,Resident Evil,952560.19908,2017,Action
393,Resident Evil,7041017.754225,2019,Action
394,Resident Evil,24116483.893698003,2021,Action
395,Resident Evil 2,604614.751062,2016,Action
396,Resident Evil 2,532050.534855,2017,Action
397,Resident Evil 2,4318079.076905999,2018,Action
398,Resident Evil 2,7326375469.435513,2019,Action
399,Resident Evil 2,111627595.422084,2020,Action
400,Resident Evil 2,56949927.918471,2021,Action
401,Resident Evil 3: Nemesis,348011.843928,2016,Action
402,Resident Evil 3: Nemesis,2168902.83225,2019,Action
403,Resident Evil 4,3097612.453404,2016,Action
404,Resident Evil 4,3538824.788184,2017,Action
405,Resident Evil 4,16513252.542003,2018,Action
406,Resident Evil 4,2471204.687931,2019,Action
407,Resident Evil 4,4787628.444837,2020,Action
408,Resident Evil 4,18794735.632638,2021,Action
409,Resident Evil 5,2023146.635181,2016,Action
410,Resident Evil 5,3926145.486879,2017,Action
411,Resident Evil Zero,4176599.013006,2016,Action
412,Resident Evil: Revelations 2,1659345.0079920003,2016,Action
413,Rise of the Tomb Raider,17152622.39775,2016,Adventure
414,Rise of the Tomb Raider,1711360.4786039998,2018,Adventure
415,Rock Band 4,1311638.522166,2016,Misc
416,Rock Band 4,1188249.372366,2017,Misc
