,Game,Total,Twitch_Year,Genre
417,Rocket League,931492302.886908,2016,Sports
418,Rocket League,3060529808.835828,2017,Sports
419,Rocket League,4888556016.262107,2018,Sports
420,Rocket League,6339925764.827929,2019,Sports
421,Rocket League,44254778385.865616,2020,Sports
422,Rocket League,73753154153.74817,2021,Sports
423,RollerCoaster Tycoon 2,301910.119812,2016,Strategy
424,RollerCoaster Tycoon World,649328.201361,2016,Simulation
425,S.T.A.L.K.E.R.: Call of Pripyat,305571.720195,2016,Shooter
426,S.T.A.L.K.E.R.: Call of Pripyat,2556477.5702130003,2017,Shooter
427,Secret of Mana,1519967.9754,2016,Role-Playing
428,Secret of Mana,4353117.239499001,2018,Role-Playing
429,Shadow of the Colossus,427924.809921,2016,Action
430,Shadow of the Colossus,221633707.591296,2018,Action
431,Sid Meier's Civilization V,30845741.198076,2016,Strategy
432,Sid Meier's Civilization V,14226114.049623,2017,Strategy
433,Sid Meier's Civilization V,9941588.689935,2018,Strategy
434,Sid Meier's Civilization V,13253046.109548,2019,Strategy
435,Silent Hill,615709.412997,2016,Action
436,Silent Hill 2,941501.6369639998,2016,Action
437,Silent Hill 2,1042909.198506,2018,Action
438,Silent Hill 3,442622.451432,2016,Action
439,Silent Hill: Downpour,960945.261276,2016,Action
440,Sonic Advance,726714.9528029999,2016,Platform
441,Sonic the Hedgehog,1316668.58799,2016,Platform
442,South Park: The Stick of Truth,4397723.336601,2016,Role-Playing
443,South Park: The Stick of Truth,4903164.94563,2017,Role-Playing
444,Splatoon,4955982.907806001,2016,Shooter
445,Spyro: Year of the Dragon,583293.8888490001,2016,Platform
446,Spyro: Year of the Dragon,1488801.8298719998,2017,Platform
447,Star Wars: Knights of the Old Republic,800973.274059,2016,Role-Playing
448,Star Wars: Knights of the Old Republic,4165630.5033,2020,Role-Playing
449,Star Wars: The Old Republic,2038240.349586,2016,Role-Playing
450,Star Wars: The Old Republic,1143195.741597,2017,Role-Playing
451,Star Wars: The Old Republic,43261969.657452,2021,Role-Playing
452,Stellaris,43742330.850204,2016,Strategy
453,Stellaris,5578636.56021,2017,Strategy
454,Stellaris,12974892.351708,2018,Strategy
455,Stellaris,3019853.285568,2019,Strategy
456,Stellaris,6705413.539523999,2020,Strategy
457,Street Fighter V,2631379099.5761013,2016,Fighting
458,Street Fighter V,1337796816.143592,2017,Fighting
459,Street Fighter V,1766942868.731691,2018,Fighting
460,Street Fighter V,994918418.300898,2019,Fighting
461,Street Fighter V,833563808.946687,2020,Fighting
462,Street Fighter V,1075514797.8528872,2021,Fighting
463,Super Mario 3D World,599477.6632320001,2016,Platform
464,Super Mario 3D World,3025309.9884840003,2018,Platform
465,Super Mario 3D World,25439914.6449,2021,Platform
466,Super Mario 64,44799134.015832,2016,Platform
467,Super Mario 64,165109900.327659,2017,Platform
468,Super Mario 64,52440452.348298,2018,Platform
469,Super Mario 64,130219135.56666,2019,Platform
470,Super Mario 64,863179592.770026,2020,Platform
471,Super Mario 64,1039148642.021469,2021,Platform
472,Super Mario Bros.,1326517.987536,2016,Platform
473,Super Mario Bros.,1202431.5072,2017,Platform
474,Super Mario Bros. 3,6300984.286548,2016,Platform
475,Super Mario Bros. 3,1545835.4907449998,2017,Platform
476,Super Mario Bros. 3,2991485.2308599995,2018,Platform
477,Super Mario Bros. 3,3125156.883408,2020,Platform
478,Super Mario Galaxy,5806751.269158,2016,Platform
479,Super Mario Galaxy,2735763.843771,2018,Platform
480,Super Mario Galaxy 2,758672.31363,2016,Platform
481,Super Mario Galaxy 2,9518589.683757002,2017,Platform
482,Super Mario Galaxy 2,6532934.139963001,2019,Platform
483,Super Mario Maker,763218145.786824,2016,Platform
484,Super Mario Maker,209909983.284561,2017,Platform
485,Super Mario Maker,226207718.26695,2018,Platform
486,Super Mario Maker,192121745.09682,2019,Platform
487,Super Mario RPG: Legend of the Seven Stars,5036820.748322999,2016,Role-Playing
488,Super Mario RPG: Legend of the Seven Stars,367616.663631,2017,Role-Playing
489,Super Mario RPG: Legend of the Seven Stars,5406544.149447,2019,Role-Playing
490,Super Mario Sunshine,13690166.784546,2016,Platform
491,Super Mario Sunshine,11011607.937792,2017,Platform
492,Super Mario Sunshine,8416070.915406,2018,Platform
493,Super Mario Sunshine,3776799.699813,2019,Platform
494,Super Mario Sunshine,25791066.258363,2020,Platform
495,Super Mario World,5803981.834245,2016,Platform
496,Super Mario World,7493094.02121,2017,Platform
497,Super Mario World,38392174.349928,2018,Platform
498,Super Mario World,79418464.86861,2019,Platform
499,Super Mario World,136105249.677789,2020,Platform
500,Super Mario World,210289432.487904,2021,Platform
501,Super Metroid,10730154.744813,2016,Action
502,Super Metroid,15085872.843006,2017,Action
503,Super Metroid,4555606.770288,2018,Action
504,Super Metroid,5680640.265552,2019,Action
505,Super Metroid,21048248.17662,2020,Action
506,Super Monkey Ball: Banana Blitz,850028.2756350001,2016,Misc
507,Super Smash Bros. Melee,572271118.765164,2016,Fighting
508,Super Smash Bros. Melee,490629086.19186,2017,Fighting
509,Super Smash Bros. Melee,385175995.279425,2018,Fighting
510,Super Smash Bros. Melee,238356878.609409,2019,Fighting
511,Super Smash Bros. Melee,388382958.16926897,2020,Fighting
512,Super Smash Bros. Melee,374560694.592693,2021,Fighting
513,TERA,1515413.137119,2016,Role-Playing
514,TERA,1008568.808037,2017,Role-Playing
515,TERA,6413704.481016,2018,Role-Playing
516,TMNT,831583.5076080001,2016,Action
517,Tales of Berseria,1800573.2090220004,2016,Role-Playing
518,Tales of Berseria,1563033.782016,2017,Role-Playing
519,Terraria,18669696.899322,2016,Action
520,Terraria,12669493.74978,2017,Action
521,Terraria,210177132.259395,2018,Action
522,Terraria,55173480.065508,2019,Action
523,Terraria,4509900434.541516,2020,Action
524,Terraria,752758507.803498,2021,Action
525,The Elder Scrolls III: Morrowind,6164307.469949999,2016,Role-Playing
526,The Elder Scrolls IV: Oblivion,1791347.962572,2016,Role-Playing
527,The Elder Scrolls IV: Oblivion,16144786.483854,2018,Role-Playing
528,The Elder Scrolls IV: Oblivion,2139838.519434,2019,Role-Playing
529,The Elder Scrolls IV: Oblivion,6575026.623543,2020,Role-Playing
530,The Elder Scrolls Online,35805320.083134,2016,Role-Playing
531,The Elder Scrolls Online,71075224.636227,2017,Role-Playing
532,The Elder Scrolls Online,408113591.892174,2018,Role-Playing
533,The Elder Scrolls Online,1537000052.963571,2019,Role-Playing
534,The Elder Scrolls Online,2725398434.736978,2020,Role-Playing
535,The Elder Scrolls Online,1213166866.611378,2021,Role-Playing
536,The Elder Scrolls V: Skyrim,433383028.74552,2016,Role-Playing
537,The Elder Scrolls V: Skyrim,125508164.764164,2017,Role-Playing
538,The Elder Scrolls V: Skyrim,190123518.31336495,2018,Role-Playing
539,The Elder Scrolls V: Skyrim,234838498.178571,2019,Role-Playing
540,The Elder Scrolls V: Skyrim,354844545.85513496,2020,Role-Playing
541,The Elder Scrolls V: Skyrim,280119429.557499,2021,Role-Playing
542,The Evil Within,1701112.861308,2016,Action
543,The Evil Within,25016587.933113,2017,Action
544,The Evil Within,1869772.903173,2018,Action
545,The King of Fighters XIV,3839162.775861,2016,Fighting
546,The King of Fighters XIV,751854.715353,2017,Fighting
547,The Last of Us,13627161.86034,2016,Action
548,The Last of Us,14953070.487978,2017,Action
549,The Last of Us,42067400.372256,2018,Action
550,The Last of Us,18277725.790086,2019,Action
551,The Last of Us,948292144.2745593,2020,Action
552,The Legend of Zelda: A Link Between Worlds,940626.851136,2016,Action
553,The Legend of Zelda: A Link Between Worlds,7049824.864151999,2019,Action
554,The Legend of Zelda: A Link to the Past,7842400.443444001,2016,Action
555,The Legend of Zelda: A Link to the Past,71819373.987942,2017,Action
556,The Legend of Zelda: A Link to the Past,118831944.244587,2018,Action
557,The Legend of Zelda: A Link to the Past,54904332.179508,2019,Action
558,The Legend of Zelda: A Link to the Past,53722923.352224,2020,Action
559,The Legend of Zelda: A Link to the Past,13195467.450227998,2021,Action
560,The Legend of Zelda: Four Swords Adventures,1951257.007728,2016,Action
561,The Legend of Zelda: Four Swords Adventures,3819633.6885,2018,Action
562,The Legend of Zelda: Link's Awakening DX,1556076.1845719998,2016,Adventure
563,The Legend of Zelda: Majora's Mask,39713334.250611,2016,Action
564,The Legend of Zelda: Majora's Mask,20237677.034694,2017,Action
565,The Legend of Zelda: Majora's Mask,4004789.076624,2018,Action
566,The Legend of Zelda: Majora's Mask,40187284.437237,2019,Action
567,The Legend of Zelda: Majora's Mask,2919245.2191000003,2020,Action
568,The Legend of Zelda: Majora's Mask,14098988.134854,2021,Action
569,The Legend of Zelda: Ocarina of Time,155999673.673179,2016,Action
570,The Legend of Zelda: Ocarina of Time,77040836.27366701,2017,Action
571,The Legend of Zelda: Ocarina of Time,172106096.111334,2018,Action
572,The Legend of Zelda: Ocarina of Time,172745646.860451,2019,Action
573,The Legend of Zelda: Ocarina of Time,216148462.887252,2020,Action
574,The Legend of Zelda: Ocarina of Time,106165914.736896,2021,Action
575,The Legend of Zelda: Oracle of Ages,1163613.08322,2016,Action
576,The Legend of Zelda: The Wind Waker,1281937.928355,2016,Action
577,The Legend of Zelda: The Wind Waker,1422933.5544480002,2019,Action
578,The Legend of Zelda: The Wind Waker,3331147.292319,2020,Action
579,The Legend of Zelda: Twilight Princess HD,12025585.662615,2016,Action
580,The Legend of Zelda: Twilight Princess HD,9083602.667349,2017,Action
581,The Sims 4,16904001.162174,2016,Simulation
582,The Sims 4,75509002.529058,2017,Simulation
583,The Sims 4,155898933.303792,2018,Simulation
584,The Sims 4,202153481.248572,2019,Simulation
585,The Sims 4,652304163.98511,2020,Simulation
586,The Sims 4,1029392949.972429,2021,Simulation
587,The Walking Dead: Season One,5610639.436143001,2016,Adventure
588,The Walking Dead: Season One,545329.669542,2017,Adventure
589,The Walking Dead: Season Two,862374.4452750001,2016,Adventure
590,The Witcher 3: Wild Hunt,176480042.85176998,2016,Role-Playing
591,The Witcher 3: Wild Hunt,150504820.550469,2017,Role-Playing
592,The Witcher 3: Wild Hunt,219822978.331404,2018,Role-Playing
593,The Witcher 3: Wild Hunt,213915340.811109,2019,Role-Playing
594,The Witcher 3: Wild Hunt,1323584688.589548,2020,Role-Playing
595,The Witcher 3: Wild Hunt,121211971.466691,2021,Role-Playing
596,Tom Clancy's The Division,10998288320.38316,2016,Shooter
597,Tom Clancy's The Division,338255977.704036,2017,Shooter
598,Tom Clancy's The Division,117624932.933613,2018,Shooter
599,Tom Clancy's The Division,18388744.514448,2019,Shooter
600,Tony Hawk's Pro Skater,947076.9377999998,2016,Sports
601,TrackMania Turbo,5896290.932405999,2016,Action
602,Transformers: Devastation,1529473.519833,2016,Action
603,Trials Fusion,1582404.291972,2016,Racing
604,Trials Fusion,656598.742758,2017,Racing
605,Trials Fusion,1389405.2916239998,2018,Racing
606,Ultimate Marvel vs. Capcom 3,7034747.220396001,2016,Fighting
607,Ultimate Marvel vs. Capcom 3,5867907.027843,2017,Fighting
608,Ultra Street Fighter IV,2810399.29695,2016,Fighting
609,Uncharted 2: Among Thieves,265066.3512,2016,Action
610,Uncharted 4: A Thief's End,463814480.9295271,2016,Shooter
611,Uncharted 4: A Thief's End,2138885.036316,2017,Shooter
612,Uncharted: The Nathan Drake Collection,1153624.394202,2016,Action
613,Until Dawn,5727792.464436,2016,Adventure
614,Until Dawn,5994620.81484,2017,Adventure
615,Until Dawn,4412722.078044,2018,Adventure
616,Until Dawn,1913076.299904,2019,Adventure
617,Until Dawn,17883334.163541,2020,Adventure
618,WWE 2K16,5225887.849119,2016,Sports
619,Wolfenstein: The New Order,1464046.958577,2016,Shooter
620,Wolfenstein: The New Order,3563662.741107,2017,Shooter
621,World of Tanks,6061519105.613349,2016,Shooter
622,World of Tanks,4026751837.966872,2017,Shooter
623,World of Tanks,2454041972.282502,2018,Shooter
624,World of Tanks,2632734568.893009,2019,Shooter
625,World of Tanks,4677749094.31977,2020,Shooter
626,World of Tanks,5424669531.430233,2021,Shooter
627,World of Warcraft,50675447375.98214,2016,Role-Playing
628,World of Warcraft,34506068938.19654,2017,Role-Playing
629,World of Warcraft,173689122963.35754,2018,Role-Playing
630,World of Warcraft,441731957218.7497,2019,Role-Playing
631,World of Warcraft,448670983145.2932,2020,Role-Playing
632,World of Warcraft,258014345341.15347,2021,Role-Playing
633,XCOM 2,935557357.591206,2016,Strategy
634,XCOM 2,70219884.97167,2017,Strategy
635,XCOM 2,98870577.732108,2021,Strategy
636,Yakuza Kiwami,10263570.403737,2016,Adventure
637,Yakuza Kiwami,1695165.96417,2017,Adventure
638,Yakuza Kiwami,2422720.454616,2018,Adventure
639,Zelda II: The Adventure of Link,698665.3934399999,2016,Adventure
640,Zero Escape: Zero Time Dilemma,2198279.678973,2016,Adventure
641,Assassin's Creed II,2472688.660176,2017,Action
642,Batman: Arkham City,2242736.424705,2017,Action
643,Bayonetta,3448433.806356,2017,Action
644,Brothers: A Tale of Two Sons,1406437.782372,2017,Adventure
645,Call of Duty 2,762247.8989789999,2017,Shooter
646,Call of Duty: Ghosts,74408712.88116,2017,Shooter
647,Call of Duty: Ghosts,1964546.78784,2018,Shooter
648,Chrono Trigger,6291081.423312,2017,Role-Playing
649,Chrono Trigger,15748196.427222,2019,Role-Playing
650,Crash Bandicoot 2: Cortex Strikes Back,1006968.698148,2017,Platform
651,Devil May Cry,1916007.182544,2017,Action
652,Digimon World: Next Order,551669.390748,2017,Action
653,Duke Nukem Forever,693069.542991,2017,Shooter
654,EarthBound,11188112.159637,2017,Role-Playing
655,Fallout 3,1646475.887763,2017,Role-Playing
656,Fallout 3,1530139.040262,2018,Role-Playing
657,Final Fantasy,9686869.77069,2017,Role-Playing
658,God of War Collection,3689632.767744001,2017,Action
659,God of War Collection,1349428.8819690002,2018,Action
660,God of War III,1143398.509344,2017,Action
661,God of War III,44847547.87894501,2018,Action
662,Grand Theft Auto: Vice City,1522261.7096399998,2017,Action
663,Grand Theft Auto: Vice City,2712252.7523910003,2019,Action
664,Halo 2,2589281.67603,2017,Shooter
665,Halo: Combat Evolved,1373911.041132,2017,Shooter
666,Kingdom Hearts II,4833656.281818,2017,Role-Playing
667,Kirby Super Star,1539510.7362179998,2017,Platform
668,Kirby's Dream Land 3,2494884.749805,2017,Platform
669,Kirby: Planet Robobot,1315606.647705,2017,Action
670,Left 4 Dead,1497414.8618729997,2017,Shooter
671,Luigi's Mansion,1049384.392602,2017,Action
672,Mega Man,4576366.500321,2017,Platform
673,Mega Man Legends,1293651.60204,2017,Adventure
674,Mega Man Network Transmission,1133779.366398,2017,Platform
675,Metro 2033,487962.578187,2017,Shooter
676,Metro 2033,4112294.87382,2019,Shooter
677,Metroid Prime 2: Echoes,1870112.705139,2017,Shooter
678,Mount & Blade: Warband,10003076.58588,2017,Role-Playing
679,Mount & Blade: Warband,24328085.198592,2018,Role-Playing
680,Mount & Blade: Warband,24342073.965195,2019,Role-Playing
681,Mount & Blade: Warband,34823176.232208,2020,Role-Playing
682,Onimusha: Warlords,1712169.1524,2017,Action
683,Onimusha: Warlords,2484597.72078,2019,Action
684,Power Rangers Samurai,427852.515657,2017,Action
685,Prey,240029826.546489,2017,Shooter
686,Prey,5399676.083969999,2018,Shooter
687,Prince of Persia: The Sands of Time,1033751.246913,2017,Action
688,Resident Evil 6,3675928.651920001,2017,Shooter
689,Rocket: Robot on Wheels,966989.292003,2017,Platform
690,Shovel Knight,1381444.4693280002,2017,Platform
691,Silent Hill 4: The Room,1775635.741089,2017,Action
692,Sly Cooper and the Thievius Raccoonus,1878054.8388,2017,Platform
693,Sonic Advance 2,1428583.70445,2017,Platform
694,StarCraft,231238792.04710203,2017,Strategy
695,StarCraft,137181451.709631,2018,Strategy
696,StarCraft,110917513.890645,2019,Strategy
697,StarCraft,152528151.438243,2020,Strategy
698,StarCraft,2279191735.229556,2021,Strategy
699,Super Castlevania IV,1128701.29365,2017,Platform
700,Super Monkey Ball Deluxe,1775439.4236810002,2017,Misc
701,The Legend of Zelda: Skyward Sword,733844.7380250001,2017,Action
702,The Legend of Zelda: Skyward Sword,7538704.226339999,2018,Action
703,The Legend of Zelda: Skyward Sword,5358914.136576001,2020,Action
704,The Legend of Zelda: The Minish Cap,2471993.7268320005,2017,Action
705,The Legend of Zelda: The Minish Cap,3724347.451356,2019,Action
706,The Witcher,2802601.688733,2017,Role-Playing
707,The Witcher,2475970.132146,2018,Role-Playing
708,The Witcher,12055893.660719998,2020,Role-Playing
709,The Witcher 2: Assassins of Kings,1693182.3824160004,2017,Action
710,The Witcher 2: Assassins of Kings,5892544.846776,2020,Action
711,This War of Mine,1447288.7728319997,2017,Action
712,Tomb Raider II,1452899.211456,2017,Action
713,Trauma Center: New Blood,1245614.460804,2017,Simulation
714,Tropico 5,680922.892272,2017,Simulation
715,Vanquish,867830.18616,2017,Shooter
716,Worms Armageddon,483482.888721,2017,Strategy
717,Ys VIII: Lacrimosa of Dana,902297.4227819998,2017,Role-Playing
718,Banjo-Tooie,1622315.93013,2018,Platform
719,Borderlands: The Pre-Sequel,1809074.203839,2018,Shooter
720,Devil May Cry HD Collection,1185663.30687,2018,Action
721,F-Zero GX,2088046.618518,2018,Racing
722,Final Fantasy XI,13902952.586166002,2018,Role-Playing
723,Final Fantasy XI,2356497.268608,2019,Role-Playing
724,Fire Emblem: The Sacred Stones,1163007.00369,2018,Strategy
725,God of War,9383026460.449718,2018,Action
726,God of War,52955087.882571004,2019,Action
727,God of War,110594717.368128,2020,Action
728,God of War,138755161.38621902,2021,Action
729,God of War II,6300107.844765001,2018,Action
730,Grand Theft Auto IV,4626421.4621520005,2018,Action
731,Grand Theft Auto IV,8431664.365488,2020,Action
732,Halo: The Master Chief Collection,13152593.22972,2018,Shooter
733,Halo: The Master Chief Collection,581839596.884763,2019,Shooter
734,Halo: The Master Chief Collection,288436919.50038,2020,Shooter
735,Halo: The Master Chief Collection,227463760.923,2021,Shooter
736,Katamari Damacy,2581975.192524,2018,Puzzle
737,LittleBigPlanet 2,1223999.343273,2018,Platform
738,Mario & Luigi: Superstar Saga,1810281.726225,2018,Role-Playing
739,Mario & Luigi: Superstar Saga,2726618.193558,2020,Role-Playing
740,Mega Man Zero 3,1302915.424356,2018,Platform
741,Metroid Prime 3: Corruption,4831702.1602920005,2018,Shooter
742,Ninja Gaiden Black,2594288.96853,2018,Action
743,Pillars of Eternity,11575213.783371,2018,Role-Playing
744,Professor Layton and the Curious Village,1113875.702016,2018,Puzzle
745,Puyo Puyo Tetris,4019150.24385,2018,Puzzle
746,Rayman,1461519.4665749995,2018,Platform
747,S.T.A.L.K.E.R.: Clear Sky,1380005.55483,2018,Shooter
748,Shenmue,2670093.305145,2018,Adventure
749,Sonic Advance 3,2690980.843362,2018,Platform
750,Super Mario World 2: Yoshi's Island,2482377.7948200004,2018,Platform
751,Super Monkey Ball,1233251.1954000003,2018,Puzzle
752,The Legend of Zelda: Majora's Mask 3D,2802292.9398660003,2018,Action
753,The Legend of Zelda: Oracle of Seasons,2060876.592054,2018,Adventure
754,The Simpsons: Hit & Run,1899624.8355,2018,Racing
755,Yakuza 3,11116906.741248,2018,Action
756,Yu-Gi-Oh! Forbidden Memories,2505396.98871,2018,Role-Playing
757,Borderlands,68870269.376832,2019,Shooter
758,Catherine,6768021.602286001,2019,Adventure
759,Final Fantasy VIII,6454746.899874,2019,Role-Playing
760,Final Fantasy VIII,24673227.9822,2020,Role-Playing
761,Halo: Reach,6488518.06764,2019,Shooter
762,LEGO Star Wars: The Complete Saga,1848679.8530550003,2019,Action
763,Mario Kart DS,2491903.873095,2019,Racing
764,MediEvil,1954364.904072,2019,Platform
765,Monster Rancher 2,2127026.41137,2019,Simulation
766,New Super Mario Bros. U,5581089.73926,2019,Platform
767,Phoenix Wright: Ace Attorney Trilogy,1735266.7912440002,2019,Adventure
768,Punch-Out!!,2826893.223819,2019,Sports
769,Tales of Vesperia,6986611.478867999,2019,Role-Playing
770,Tetris,78105320.988723,2019,Puzzle
771,The Legend of Zelda: Link's Awakening,159950620.729284,2019,Action
772,The Legend of Zelda: Link's Awakening,3921228.42027,2020,Action
773,The Legend of Zelda: Twilight Princess,13627942.20942,2019,Action
774,Trauma Center: Under the Knife 2,2230680.015648,2019,Simulation
775,Yakuza 4,6973585.326792001,2019,Action
776,Yakuza 5,22933133.025474,2019,Action
777,Yakuza 5,7577638.157124001,2020,Action
778,Barbie Horse Adventures: Wild Horse Rescue,10011766.154544,2020,Sports
779,Destroy All Humans!,25842984.895035,2020,Shooter
780,Diablo II,80750031.12170401,2020,Role-Playing
781,Diablo II,209923444.826634,2021,Role-Playing
782,Donkey Kong Country 3: Dixie Kong's Double Trouble!,3754411.172442,2020,Platform
783,Kingdoms of Amalur: Reckoning,33004279.108332,2020,Role-Playing
784,Max Payne 3,29777718.038376004,2020,Shooter
785,Max Payne 3,12875533.096104,2021,Shooter
786,Microsoft Flight Simulator,1058581334.696361,2020,Simulation
787,Microsoft Flight Simulator,49005016.558554,2021,Simulation
788,NCAA Football 14,37799837.984748,2020,Sports
789,Phantasy Star Online 2,32821112.380224004,2020,Role-Playing
790,Phantasy Star Online 2,14799104.996508,2021,Role-Playing
791,The Legend of Zelda,6079326.855839999,2020,Action
792,Wasteland 2,5810978.370288,2020,Role-Playing
793,Yakuza,89871847.22170201,2020,Action
794,The Movies,56303001.16728,2021,Simulation
